Sondaggista,Committente,Data iniziale,Data finale,Campione,Emiliano,Fitto,Scalfarotto,Laricchia,Conca
Noto,CDX,2020-06-04,2020-06-04,600,37.5,45,,,
EMG,CDX,2020-06-04,2020-06-04,600,36.5,43.5,,,
Noto,Rai,2020-06-25,2020-06-25,1000,38,45,4,11,0
Euromedia,Piazze d'Italia,2020-06-29,2020-06-30,1000,39.8,37.8,3.6,17.1,1.7
Troisi Ricerche,PD Puglia,2020-07-05,2020-07-07,1000,41.1,37.6,4.2,16.7,0.4
EMG,EMG,2020-07-07,2020-07-09,1800,37.5,43.5,5.0,12.0,2.0
Baldassarri,Affariitaliani.it,2020-07-09,2020-07-14,603,34.5,30.2,3.1,31.1,1.1
GPF,Telenorba,2020-07-27,2020-07-31,1501,28.3,25.4,1.4,10.8,0.6
EMG,Affariitaliani.it,2020-08-03,2020-08-05,1800,37.5,43.5,5.0,12.0,2.0
Tecnè,Agenzia Dire,2020-08-05,2020-08-06,1000,37,42,4.5,15,1.5
BiDiMedia,Italia in Comune,2020-08-03,2020-08-07,1353,38.8,38.1,4.2,16.7,1.6
GPF,Telenorba,2020-08-12,2020-08-12,1000,42.3,37.9,2.1,16.1

